monthly_payment,description,price,square_price,area,rooms,subways,floors
145478.0,"Продается уютная однокомнатная квартира в новом доме по адресу: Москва, район Щербинка, улица Уточкина, 8к1. Общая площадь квартиры составляет 32.6 кв.м, из которых 9.6 кв.м - жилая комната и 15.7 кв.м - просторная кухня. 
Квартира расположена на 4 этаже 14-этажного дома, высота потолков - 2.8 метра. Окна выходят на частный сектор, что обеспечивает хорошую освещенность и вентиляцию.

Квартира с евроремонтом: современная отделка, качественные материалы, стильный дизайн. Установлена система Умный дом, в том числе датчик от протечек. Санузел совмещённый, с необходимой сантехникой. Удобная планировка квартиры создаёт уют и комфорт.

Дом новый, оборудован всем необходимым для комфортной жизни: есть один пассажирский и два грузовых лифта, подъезд на уровне земли, что является удобным для маломобильных граждан. Наземная парковка позволяет без проблем оставить ваш автомобиль рядом с домом. Концепция двора - двор без машин.

Район с развитой инфраструктурой: в шаговой доступности находятся школы, детские сады, магазины и другие объекты социальной значимости. Прекрасная транспортная доступность: рядом с домом есть остановки общественного транспорта, что позволяет быстро добраться до любой точки города. в пешей доступности ст Силикатная.
В 15 мин езды в Бутово: ТЦ Бутово Молл, ТЦ Глобус, ледовый дворец Арена Самолет.

Продажа квартиры осуществляется по договору купли-продажи от первого собственника по ДДУ. Продажа в связи с покупкой квартиры в этом же ЖК большей площади. Маткап при покупке квартиры не использовался. Квартира не имеет обременений, 1 собственник, все документы готовы к сделке. Вариант подходит под ипотеку.
Звоните, квартира на ключах! С удовольствием отвечу на дополнительные вопросыНомер объекта: #150/537404/15580",7700000,233333,33.0,1,"Силикатная, Щербинка, Остафьево",16
264505.0,"ДВУШКА У МЕТРО в одном из самых привлекательных районов Москвы - ЧЕРЕМУШКИ! Чудесный вариант как для проживания, так и для сдачи в наем!  Дом находится в непосредственной близости к метро ""Новые Черемушки"" в глубине дворов. Окна выходят внутрь дворовой территории,  улицу Профсоюзную абсолютно не слышно!  Рядом детская поликлиника, театр ""Бенефис"",  ТЦ ""Панорама"" и ""Черемушки"". Квартира имеет линейную планировку, комнаты раздельные 10,1 и 18,9 кв.м., кухня 5,8 кв.м., санузел раздельный, потолки h-2,65 м. Квартира с ремонтом, позволяющим заехать и жить, оставляем всю мебель новому владельцу. В собственности более 10 лет, в ДКП полная стоимость, 1 собственник, выпишемся до сделки. Ипотека приветствуется, уместен разумный аргументированный ТОРГ.",14000000,313199,44.7,2,"Профсоюзная, Новые Черёмушки, Зюзино, Воронцовская, Академическая",5
450835.20243673853,"Номер в базе: 546486. Предлагаем вам уникальную возможность стать владельцем великолепной двухкомнатной квартиры в современном жилом комплексе ""Квартал Некрасовка""! Эта просторная квартира с изолированными комнатами и уютной кухней-гостиной станет идеальным местом для комфортной жизни. Просторная прихожая и раздельный санузел добавляют удобства и функциональности.

Квартира выполнена в высококачественном ремонте от застройщика, что позволит вам сразу же наслаждаться жизнью в новом доме без дополнительных затрат и хлопот. 
В прихожей и в кухне ремонт делали сами, итальянские обои, делали всё для себя.
В вашем распоряжении два лифта — грузовой и пассажирский, а также колясочная в подъезде, что делает жизнь еще более комфортной.

Монолитный дом обеспечивает надежность и долговечность, а во дворе расположены современные детские и спортивные площадки, где ваши дети смогут весело проводить время. Развитая инфраструктура района порадует вас: рядом находятся школы, детские сады, продуктовые магазины, салоны красоты, кафе и пекарни — все, что нужно для удобной жизни.

Всего в 12 минутах пешком находится станция метро Некрасовка, что обеспечит вам легкий доступ к центру города и другим районам. Квартира принадлежит одному взрослому собственнику, что упрощает процесс покупки.

Не упустите шанс стать обладателем этой замечательной квартиры! Звоните прямо сейчас для оперативного показа и убедитесь в её преимуществах лично!
Код пользователя: 34380",14000000,234113,59.8,2,Некрасовка,20
510118.0,"Номер в базе: 2510272. Продается 2-комнатная квартира с дизайнерским ремонтом в 8-этажном кирпичном доме в районе м. Белорусская (900 метров до метро). Район уже с очень развитой инфраструктурой.

О квартире:
Площадь: 58 кв.м., - 4 этаж, есть балкон (около 2 м2). 
Кухня-гостиная - 27,5 м2;
Спальня+гардероб - 23,5 м2.
Уютная и комфортная квартира с дизайнерским ремонтом и мебелью, полностью готовая к проживанию. Большая гардеробная комната. Много скрытых  шкафов. 
Потолки в доме 3,2 метра, после ремонта 3,05м.

О доме:
Кирпичный дом 1959 года с железобетонными перекрытиями, большой и чистый подъезд, лифт грузоподъемностью до 6 человек, есть подвальные помещения, отсутствуют неприятные запахи.
В доме 3 подъезда, 84 квартиры, прописано 186 человек.
Дом находится всего в 4 км по прямой от Красной Площади.

Об инфраструктуре (в шаговой доступности до 15 минут) :
- в пределах 500 метров  находятся школы (несколько корпусов школы 1570, кадетская школа 1784 и православная школа исскуств);
- детский сад (2 муниципальных 1570 и 1784), а также несколько частных;
- 2 колледжа (экономических международных связей и автоматизации и информационных технологий;
- Финансовый университет при Правительстве РФ, Пограничная Академия ФСБ, Московский Международный Университет, РГГУ;
- много лечебных учреждений (поликлиники, роддом, много разных платных клиник);
- стадион ВТБ Арена и академия спорта Динамо;
- спортивный интернат ""Динамо"";
- ТВ и радио-компании;
- новый банный комплекс ""Жар-птица"";
- супермаркеты , ателье, кафе и рестораны все в шаговой доступности;
- много новых бизнес центров построилось и в завершающей стадии в пешей доступности.

О транспорте:
- быстрый выезд на Ленинградский проспект, улицу Тверскую и ТТК в обе стороны;
- метро Белорусская и МЦД D1 и D4  900 метров, м. Савеловская 1,4 км.
- остановка общественного транспорта в шаговой доступности;
- новый пешеходный мост в сторону Белой Площади.

О документах:
- один взрослый собственник, быстрый выход на сделку.
Код пользователя: 129358",27000000,465517,58.0,2,"Белорусская, Савёловская, Белорусская, Савеловская, Белорусская",8
450835.20243673853,,10763457,304568,35.34,1,нет метро,18
450835.20243673853,,15519923,353529,43.9,1,нет метро,25
357082.0,"Номер в базе: 4264831. Продаётся уютная трёхкомнатная квартира в Савеловском районе (Северо-Восточный административный округ) Москвы

Эта квартира расположена в шаговой доступности от трёх школ (1601, 1164, 218) и детских садов, детских клубов и развивающих центров, а также от детской и взрослой поликлиник. Рядом с домом есть несколько магазинов, включая «Пятёрочку», «Верный», «Мяснов», «Магнолию», «Авоську», «Магнит», XOZМаг, а также аптеки, библиотека, отделения Сбербанка и рынки — Вятский и Бутырский.

Двор тихий и спокойный, въезд осуществляется через шлагбаум, всегда есть свободные места на парковке. Соседи дружелюбные и приветливые.

Транспортная доступность

Ближайшая станция метро от дома — «Дмитровская» (Серпуховско-Тимирязевская линия). Пешком всего 1,2 км (12–15 минут). Также в 10 минутах от дома находится станция МЦД-2 (платформа Гражданская).

От дома можно быстро добраться до автобусных остановок, ведущих в сторону метро «Динамо» и «Петровский парк» (маршруты 319, 384к, 384), Савеловского вокзала (маршруты 384, 384к, 466), Белорусского вокзала (маршрут 82) и Северного речного вокзала (маршрут 72).

До ТТК и Дмитровского шоссе на машине можно доехать за 5 минут, до Ленинградского проспекта — за 7 минут.

Отдых и прогулки на природе

Для любителей отдыха и прогулок на природе в 10 минутах от дома находится Тимирязевский парк. Летом здесь можно погулять, а зимой — покататься на лыжах.


Квартира принадлежит одному взрослому собственнику.

Не упустите возможность приобрести уютную трёхкомнатную квартиру в Савеловском районе Москвы!



Код пользователя: 171392",18900000,347426,54.4,3,"Дмитровская, Гражданская, Дмитровская",9
450835.20243673853,,11182089,216287,51.7,2,нет метро,26
1303635.0,"Продается светлая квартира для семьи в клубном доме.
5 минут пешком и вы на Цветном бульваре.
Есть место в подземном паркинге.

Квартира без ремонта, это позволит вам сделать все по своему вкусу. 
Просторная кухня, уютная гостиная с панорамным окном, две изолированные спальни.
Гардеробная и 2 с/узла добавят удобства для жизни.

Окна выходят как на улицу, так и во двор, поэтому в квартире всегда будет достаточно света. Есть балкон с видом в тихий двор, где можно наслаждаться утренним кофе или вечерним чаем.

Дом оборудован подземной парковкой и грузовым лифтом. 
Есть пандус - удобство для семей с маленькими детьми и людей с ограниченными возможностями. Круглосуточная охрана.

В шаговой доступности находятся школы, детские сады, клиники и магазины. 
Отличная транспортная доступность: всего 6 минут пешком до метро Достоевская. 
Этот район идеально подходит для семей с детьми и тех, кто ценит комфорт и удобство городской жизни.

Здесь расположен один из самых интересных универмагов города  Цветной, где можно найти разнообразные товары от известных мировых брендов. 
Также на бульваре находится концертный зал Мир, где проходят выступления известных музыкантов и артистов. 

Театр кукол имени С. В. Образцова расположен недалеко от бульвара, что делает его еще более привлекательным для семейного отдыха. 
Цветной бульвар  это не только исторический объект, но и место, где можно провести время с интересом и удовольствием.

Ипотека возможна. Юридически чистая, без обременений. 
Звоните, чтобы записаться на просмотр и узнать больше деталей.",69000000,492857,140.0,3,"Проспект Мира, Сухаревская, Менделеевская, Цветной бульвар, Чеховская, Новослободская, Достоевская, Трубная, Проспект Мира",10
347636.0,"Продается квартира в одном из самых престижных и экологически чистых районов Москвы.
Район  Академический удачно расположен на юго-западе столицы. 
Комфорт и благоустройство, хорошо развитая инфраструктура, делает его наиболее привлекательным для жизни.

Здесь множество скверов и зеленых парков. Недалеко от комплекса находится Новочеремушкинский пруд и прекрасно для  прогулок и отдыха.

 Квартира свободной планировки, что позволит осуществить самые смелые планировочные решения в дизайне.

Жилой комплекс построен по индивидуальному проекту. 
Вентилируемый фасад выполнен в природных оттенках гармонично сочетается
 с окружающей архитектурой района.
На здании также установлены декоративные корзины для кондиционеров. 
Входные группы оформлены витражным остеклением.

Подъезды просторные, с широкими вестибюлями и лифтовыми холлами. 
В них есть помещения для консьержа, а также колясочные, где можно оставить коляски и велосипеды. Входы в жилой дом расположены на одном уровне с тротуаром. Таким образом создается безбарьерная среда, удобная абсолютно всем жителям, включая маломобильных граждан.
 Территория жилого дома это благоустроенное, комфортное и безопасное пространство без машин, где приятно гулять и отдыхать. Во дворе размещена оборудованная детская и спортивная площадка, а также площадка для отдыха. 
Ландшафтный дизайн территории представлен деревьями, красивоцветущими кустарниками, многолетними цветниками и газонами. Есть свой подземный паркинг.

 В шаговой доступности супермаркеты, школы, детские сады, 
поликлиника, фитнес-комплекс, салоны красоты, рестораны и кафе.
 
Удобная транспортная развязка, удобный выезд на Ленинский проспект, 
на ТТК и все вылетные магистрали.
Недалеко от ЖК расположены станции метро: Академическая, Профсоюзная.
     
Один взрослый собственник, квартира без обременений. Никто не прописан",18400000,391489,47.0,1,"Профсоюзная, Новые Черёмушки, Крымская, Академическая",13
450835.20243673853,"Предлагаем Вашему вниманию квартиру с отделкой в клубном квартале -  Lucky. Это социокультурный кластер с современными жилыми домами, историческими зданиями и собственными парковыми зонами.
Визуально Lucky делится на две части: верхний город с жилыми домами и нижний город, где расположен новый социокультурный кластер.
Верхний город — это восемь жилых домов, квартиры в которых предлагаются с отделкой, оборудованными кухнями и ванными комнатами.
В исторических зданиях нижнего города расположено все самое важное для качественной жизни: фермерские магазины, рестораны, образовательный центр, художественные мастерские, спортивные студии, школы изучения иностранных языков, детский сад и подогреваемый бассейн на крыше. Ждем Вас на презентацию!",122000000,1102077,110.7,3,"Выставочная, Беговая, Улица 1905 года, Баррикадная, Краснопресненская, Беговая",20
450835.20243673853,,7625763,201420,37.86,1,нет метро,15
450835.20243673853,,12922200,239300,54.0,2,нет метро,20
450835.20243673853,"Лучший апартамент на всем Балчуге. 
Панорамные окна высотой 5 метров, фантастические виды на Красную площадь, ГУМ, Собор Василия Блаженного, купола соборов в Кремле, а также на высотку на Котельнической набережной и красивые архитектурные объекты на самом Балчуге. 
На 155 м2 идеально планируются две видовые спальни с санузлами и гардеробными комнатами, кухня-столовая и гостиная с лучшими видами из этого комплекса апартаментов. 
Свободная продажа, один собственник. 
Без отделки. 
На фотографиях реальные виды.

Компания ZIP Realty является членом РГР (Российской гильдии риэлторов), ГРМ (Гильдии риэлторов Москвы), Гильдии риэлторов при МТПП (Московской торгово-промышленной палате), КОКОН (Консультанты коммерческой недвижимости), AREA (Ассоциации агентств элитной недвижимости)",235000000,1506410,156.0,4,"Третьяковская, Новокузнецкая, Китай-город, Библиотека имени Ленина, Площадь Революции, Александровский сад, Боровицкая, Полянка, Китай-город, Третьяковская",6
450835.20243673853,,13114332,345114,38.0,1,нет метро,18
349525.0,"Продается 3-комнатная квартира в сталинском доме – идеальное сочетание классики и современности!

- Локация: Уютно расположенная в тихом уголке двора, этот дом находится в шаговой доступности от зеленых насаждений Воронцовского парка и обладает великолепной инфраструктурой района. 

- Особенности жилья: Предлагаемая квартира находится на высоком первом этаже, обеспечивая уют и тишину. Состоит из трех изолированных комнат с просторными площадями – 17,1 кв.м; 12,4 кв.м; и 10,3 кв.м. Для вашего удобства предусмотрен раздельный санузел и хорошо оснащенная кухня площадью 8 кв.м с необходимой техникой и мебелью.

- Инфраструктура: Престижные школы и учебные заведения, детские сады прямо у вашего дома, а также сетевые магазины для всех ваших потребностей. 

- Транспорт: Отличная транспортная доступность благодаря близости к метро «Улица Новаторов», «Новые Черемушки» и «Университет».

- Условия покупки: Квартира продаётся свободно, без обременений. Возможность покупки в ипотеку и применения субсидий.

Эта квартира станет вашим персональным оазисом комфорта и стиля в сердце города. Не упустите шанс обзавестись жилым пространством, объединяющим историческое наследие и современные удобства. 

Контактируйте для уточнения деталей и организации просмотра. Создайте свой уютный мир в этом сталинском здании! Лот №45429118.
 Агент Кравченко Ольга Игоревна, НДВ-Супермаркет недвижимости",18500000,303278,61.0,3,"Профсоюзная, Новые Черёмушки, Университет, Проспект Вернадского, Новаторская (Улица Новаторов)",9
450835.20243673853,,11854562,318671,37.2,1,нет метро,21
223885.0,"СВОБОДНАЯ ПРОДАЖА! Один взрослый собственник, ПОЛНАЯ стоимость в ДКП (в собственности с 2017 года).

К продаже предлагается 2-квартира ФУНКЦИОНАЛЬНОЙ ПЛАНИРОВКИ с ИЗОЛИРОВАННЫМИ комнатами, на КОМФОРТНОМ 5-м этаже 12-ти этажного дома, после капитального ремонта. В квартире произведен КАЧЕСТВЕННЫЙ ремонт, установлены стеклопакеты, застекленный и утеплённый балкон, из окна которого открывается вид на ОБУСТРОЕННЫЙ двор с детскими и спортивными площадками. УЮТНАЯ кухня укомплектована всей необходимой мебелью и бытовой техникой, во всей квартире заменены радиаторы и электропровода, в санузле – трубы. 

УХОЖЕННАЯ придомовая территория, ЧИСТЫЙ подъезд с видеонаблюдением. Для транспортных средств предусмотрена НАЗЕМНАЯ парковка с достаточным количеством машино-мест.

ТЕКСТИЛЬЩИКИ – один из САМЫХ обжитых районов с РАЗНОПЛАНОВОЙ ИНФРАСТРУКТУРОЙ в ШАГОВОЙ ДОСТУПНОСТИ! 

В непосредственной БЛИЗОСТИ от дома расположен МУЗЕЙ-ЗАПОВЕДНИК «Кузьминки-Люблино» - один из САМЫХ лучших и крупных столичных парков, который сочетает в себе удивительную природу, развитую инфраструктуру и усадебный комплекс, сохранившийся с XIX столетия. Местные жители и гости столицы уже давно облюбовали это ЖИВОПИСНОЕ место для прогулок с детьми, свиданий с любимыми, для активного отдыха или уединения с природой.

УДОБНАЯ транспортная доступность!!! До станции МЕТРО и БКЛ «Текстильщики» - всего 10 минут ПЕШКОМ, а станция МЦК и МЦД-2 «Новохохловская», в 20 минутах пешей досягаемости от дома, позволит БЫСТРО доехать практически до любого района города Москвы. Лот №45308293.
 Агент Томина Вера Анатольевна, НДВ-Супермаркет недвижимости",11850000,296250,40.0,2,"Текстильщики, Нижегородская, Новохохловская, Новохохловская, Текстильщики, Стахановская, Нижегородская, Текстильщики (БКЛ), Нижегородская",12
450835.20243673853,,17628988,407135,43.3,1,нет метро,22
450835.20243673853,,15750359,182931,86.1,3,нет метро,18
920102.0,"СВОБОДНАЯ ПРОДАЖА! Вашему вниманию предлагается просторная 4-ти комнатная квартира в престижном районе Хорошево-Мневники.
-Монолитный дом 2011 года построенный по индивидуальному проекту. Огороженная территория,детские площадки,подземный паркинг.
-Общая площадь квартиры составляет  144,8 кв.м без учета балкона.  Функциональная планировка:  квартира разделена на две зоны,хозяйская зона :3 изолированных спальни( 19кв.м,11,3кв.м,11,2 кв.м)  ,кабинет -16,1 кв.м ,санузел с джакузи; и гостевая зона ,включающая в себя  просторную гостиную  -полустудио с ( с кухней)-38 кв.м. и гостевой санузел c душевой кабиной и встроенной инфракрасной сауной. Полы -паркет. В санузлах и коридоре -полы с подогревом. Высота потолков -2,85м.
-Престижный район с развитой инфраструктурой: В пешей доступности парк Сосновый Бор,кадетская школа,школа- гимназия( входит в 10-ку лучших школ Москвы),образовательные и досуговые центры,поликлиники. Хорошая транспортная доступность.В 2025-2026 м году в 200 метрах от дома открывается станция метро  ""Бульвар Генерала Карбышева"".
-Свободная продажа. 1 взрослый собственник. Полная стоимость в договоре. Перепланировка узаконена. Возможна ипотека. Все документы готовы к сделке. Показы -по договоренности Лот №45237438.
 Агент Пахомова Елена Васильевна, НДВ-Супермаркет недвижимости",48700000,336325,144.8,4,Народное Ополчение,27
